Liedanfang,Quelle,Seite,Videolink,Bewerten
In days gone by,Liederbock,204,https://www.youtube.com/embed/zpNQ2gw3e3s?si=Q1LPXNknhCyq3W3S,1
In dem Kerker saßen,Liederbock,206,https://www.youtube.com/embed/4pDTs7TYE98?si=3CDfoBYI8rwHSZ1m,1
"In die Sonne, die Ferne hinaus",Liederbock,208,https://www.youtube.com/embed/vV7FKBYZ0vM?si=VRrNB5-txZkTnyOQ&amp;start=17,1
In Dublins fair city,Liederbock,210,https://www.youtube.com/embed/MQcdfxDGCkg?si=270OjgHdsyZGIx31,1
In Junkers Kneipe,Liederbock,212,https://www.youtube.com/embed/qy6euyEi_nM?si=CzeiD0bbVhpuFO5G,1
Jeden Abend träumt Jerschenkow,Liederbock,214,https://www.youtube.com/embed/y5O09MPACe8?si=8jWlNSzIC93RzGaK,1
Jenseits des Tales,Liederbock,216,https://www.youtube.com/embed/IbolSfRu5Uw?si=O4bxi1GDEdrwH4Gy&amp;start=8,1
Jovano,Liederbock,218,https://www.youtube.com/embed/1SBK5Z8gqDE?si=5lvLa3GFbbtPXZ1C,1
Kameraden wann seh'n wir uns wieder,Liederbock,220,https://www.youtube.com/embed/14HaBcUQ7pQ?si=g1Xc4zzsuPv9pB-6,1
Kein schöner Land,Liederbock,222,https://www.youtube.com/embed/WwL8wyBlceE?si=GOW3qfWGox6vP7xA&amp;start=7,1
Kommt Freunde in die Runde,Liederbock,224,https://www.youtube.com/embed/3s2mQL2mHjg?si=nLUARu5ANnrHLFfh&amp;start=24,1
Lang war die Reise,Liederbock,226,https://www.youtube.com/embed/g7CCvHoRnBE?si=Fd-_iDQClX9WpaTe,1
Leise weht der Wind,Liederbock,228,https://www.youtube.com/embed/csCqijYsJzM?si=j4XsbUQ_jRCIWPc9,1
"Mädchen, Männer, Meister",Liederbock,230,https://www.youtube.com/embed/sF1Ot7NCcig?si=7v9_1GGZW4xm0KT9,1
Mich brennt's in meinen Reiseschuhn,Liederbock,232,https://www.youtube.com/embed/VvJQjJuFsj0?si=HuTb1u-SNKOmhFEC&amp;start=7,1
"Michel, warum weinest du",Liederbock,234,https://www.youtube.com/embed/uWjQPXchZiU?si=JGyrKmhVhNeNRxlP,1
Miruschka,Liederbock,236,https://www.youtube.com/embed/HJEfgBjjJkU?si=pUAjqyTLm2nyDzTX&amp;start=18,1
Nach Süden nun sich lenken die Vögelein,Liederbock,238,https://www.youtube.com/embed/zynoi7gTUUI?si=iYzu090p0i8DIFGh,1
Nachts auf dem Dorfplatz,Liederbock,240,https://www.youtube.com/embed/bH5er1ZrdSE?si=tjK1i_mUnqTt40Ua,1
Near to Banbridge town,Liederbock,242,https://www.youtube.com/embed/xyrkGR0NtUs?si=8f2q6_fqdeqZcVIH,1
"Nehmt Abschied, Brüder",Liederbock,246,https://www.youtube.com/embed/n-wzr3GMWEQ?si=v7vraT_u5oUEA7CJ&amp;start=10,1
"Nordwärts, nordwärts",Liederbock,248,https://www.youtube.com/embed/GpQtuvCRQBU?si=NWVoe09izjuqduNo,1
Nun greift in die Saiten,Liederbock,250,https://www.youtube.com/embed/8-HfgFjS9Ag?si=ekf6nz7HYlf1jko2,1
"Nun lustig, lustig",Liederbock,252,https://www.youtube.com/embed/Xf_b6P9zxNA?si=wmX5B_k77AJUCh1z,1
Oh Bootsmann,Liederbock,254,https://www.youtube.com/embed/zu-yPjB1h-U?si=xS2phjgJF5aFqUvs,1
Oh Fischer auf den Wogen,Liederbock,256,https://www.youtube.com/embed/Xhd8WNJG6LU?si=Dq2d4p5TYYCiwYoI,1
Oh König von Preußen,Liederbock,258,https://www.youtube.com/embed/xq3iZdKjjzA?si=_oINw_qPPbz7ogCLysw,1
Owe,Liederbock,262,https://www.youtube.com/embed/L2h1GKUpjsQ?si=2dGHf1p-Gi87qs_-,1
Ringsum blühen Birn- und Apfelbäume,Liederbock,264,https://www.youtube.com/embed/acPvvv1gqGg?si=wQtPFJ17xEI8UPf7,1
Roter Mond,Liederbock,266,https://www.youtube.com/embed/zkyU1bkhmOM?si=hMyH8pC9ZcCVfoze,1
Roter Wein im Becher,Liederbock,268,https://www.youtube.com/embed/_P14BFecpxI?si=3WPUDSnyPPb1mZOQ,1
"Scharlatane, eins will ich euch sagen",Liederbock,270,https://www.youtube.com/embed/XFrJYFZVX9s?si=c_WMwhLMhrZ97CQE,1
Schilf bleicht die langen welkenden Haare,Liederbock,272,https://www.youtube.com/embed/xK2JTxldF6k?si=4xVt2KGWHncP1HJ-,1
Schlies Aug' und Ohr,Liederbock,274,https://www.youtube.com/embed/qHm5Kjn-IrM?si=FBWIFFwlQ_I3GaTV,1
Schon wird uns oft ums Herz zu eng,Liederbock,276,https://www.youtube.com/embed/HUpbSvV1mok?si=UMSCfSvLpMdkKcUP,1
"Seht, die Leute, die springen",Liederbock,278,https://www.youtube.com/embed/O2UgiOnbguo?si=XnR88RqZ1nji4Vkx,1
Sie saßen oft am Märchensee,Liederbock,280,https://www.youtube.com/embed/km6p9Z2q_p8?si=OolLGLc9OW7zgkEo,1
Singt Freunde,Liederbock,284,https://www.youtube.com/embed/ixj2gCgkk0A?si=-zuowudfHTQaoa2s&amp;start=24,1
Slaat up de Trommele,Liederbock,286,https://www.youtube.com/embed/XOltERUigBc?si=IyLZUXI9LtvoiXc1,1
So troll'n wir uns,Liederbock,288,https://www.youtube.com/embed/tT8WpDzj5t8?si=qcA-pyXQUwnktR4_,1
Staubiger Straßen weißes Band,Liederbock,290,https://www.youtube.com/embed/pb49XNA7W-A?si=ORNGG6DMWc3xpuWJ,1
Steigt so ein kleiner Troll,Liederbock,292,https://www.youtube.com/embed/toIXJ4y21cI?si=hpRM8E9jzdGEj-ht&amp;start=7,1
Steuermann hoo!,Liederbock,294,https://www.youtube.com/embed/PfHCN2zuyhs?si=CFkcjo9P_gS7CPlM,1
Stiebt vom Kasbek kalt der Schnee,Liederbock,296,https://www.youtube.com/embed/3qySzsXd-60?si=TN1hVw-SQWRS6yO9,1
Stille Tage,Liederbock,298,https://www.youtube.com/embed/7F3c2NgimXo?si=CxmVpMPU5aGX4W6y,1
Straßen auf und Straßen ab,Liederbock,300,https://www.youtube.com/embed/VCXMEyUO-YQ?si=H_-r8BV1a0-_iBxG,1
Sturm bricht los,Liederbock,302,https://www.youtube.com/embed/aUJOPdFSOm0?si=LLvFdANn5iElHo_F,1
Summt der Regen,Liederbock,304,https://www.youtube.com/embed/0SCDCnH1uSA?si=vY2VSo5_dvBnMnpv,1
Taivas on sininen,Liederbock,306,https://www.youtube.com/embed/_f-utbhxY28?si=oUSneNZWUk7Od1lO,1
Tanzen die Dohlen,Liederbock,308,https://www.youtube.com/embed/KPlGBLzp9s4?si=GcUoYerFcHna5aJi ,1
Tau vor Tag,Liederbock,310,https://www.youtube.com/embed/sAFun-s5mp8?si=w6zPOUgzd7fmig2o&amp;start=22,1
Trumradibum,Liederbock,312,https://www.youtube.com/embed/ILJnbi8HpmQ?si=oMk7Br4wG3kwXe5H,1
Tsching Tsching bum bum,Liederbock,314,https://www.youtube.com/embed/rIK7TlIp4Nw?si=SfUUidEJXIHzAnE3,1
Tsu mir is gekumen a kusine,Liederbock,318,https://www.youtube.com/embed/J8eJTYVkV0Y?si=ePWu3eS_3rBM13yr,1
Turm,Liederbock,320,https://www.youtube.com/embed/84X10fuBX6w?si=nLLYuKPzCHXVe3zC,1
'Twas down the glen,Liederbock,322,https://www.youtube.com/embed/SH50D2TAIa8?si=5-thqIOF9l2OFzh7,1
Über meiner Heimat Frühling,Liederbock,324,https://www.youtube.com/embed/SEjVrPdn_SE?si=P5E6SbRzuwMz7C2O,1
Und als begann der dritte Krieg,Liederbock,326,https://www.youtube.com/embed/G6lLtzAusnU?si=42zcrWxOVDKaTmg-,1
Und als wir dann am Abend,Liederbock,328,https://www.youtube.com/embed/-2p6EZLn-_w?si=WZt_W4Qoh0E18Bsd,1
Und am Abend ziehen Gaukler,Liederbock,330,https://www.youtube.com/embed/u16YwYDTHHI?si=EhdiqEa9OU1WUoeS,1
Und wir kauern wieder um die heiße Glut,Liederbock,332,https://www.youtube.com/embed/orGOYNRz61A?si=fA_NqfMnSXv2-GyO,1
Ungezählte Male,Liederbock,334,https://www.youtube.com/embed/gs6Ui88vIQk?si=1tErrE2Tz164EFNl&amp;start=33,1
Uns jungen Mannen,Liederbock,336,https://www.youtube.com/embed/q2Rk7Q9zhBY?si=qmslyKYO0nIdKYvK,1
Unter den Toren,Liederbock,338,https://www.youtube.com/embed/8B4KPoMIWL8?si=iW6Nw7Wcq5Owk_po,1
viel schnee liegt auf den straßen,Liederbock,340,https://www.youtube.com/embed/4ELFaeot0qs?si=23moW0hFFzn_spfe,1
Viva la feria,Liederbock,343,https://www.youtube.com/embed/qZkhVBroa80?si=jBLdWH-MU1W6dZSU,1
Von der Festung dröhnt,Liederbock,344,https://www.youtube.com/embed/_49MpKorn2M?si=aui7mOthfBzw5rvd,1
Von Sonn' und Kessel schwarzgebrannt,Liederbock,346,https://www.youtube.com/embed/oe65t5m3cAU?si=1P5ofHAbq37PkadC&amp;start=31,1
"Wanderer, lobe den Herren",Liederbock,350,https://www.youtube.com/embed/POVSTyuVgQQ?si=TLdXPYo7PF24YJHm&amp;start=16,1
War einst ein Karmeliter,Liederbock,352,https://www.youtube.com/embed/F6Pfc1fA4fI?si=mqEa-jdybIawaHde,1
Warum zögerst du noch,Liederbock,354,https://www.youtube.com/embed/8q7RC3IOWyU?si=gk9ysJU_I5TNqQyI,1
Was bin ich nur so jäh erwacht,Liederbock,356,https://www.youtube.com/embed/J_AiAXVCdtk?si=9EXQo8B6r7FAt43D,1
Was gehn euch meine Lumpen an,Liederbock,360,https://www.youtube.com/embed/AbRW1Wu1ibU?si=zQTHpf6F_r5Q9pw8,1
Was helfen mir tausend Dukaten,Liederbock,362,https://www.youtube.com/embed/_XHO-yKpAO0?si=4NVzdE8vS8xujIIj,1
Was kann ich denn dafür,Liederbock,364,https://www.youtube.com/embed/vuffhuoUM80?si=J9Pzg4sOm6pP_wbG,1
Was ließen jene,Liederbock,366,https://www.youtube.com/embed/JXUzk2CgsUA?si=ckx5HRqbL0iEo1nZ,1
Weile an dieser Quelle,Liederbock,368,https://www.youtube.com/embed/Y4hWB57lqVg?si=yAKybxoqNmDNQtVo,1
Welle wogte,Liederbock,372,https://www.youtube.com/embed/AohWWPgdAow?si=NrQ2rwPOoTCDZQW0,1
Wenn alle Brünnlein fließen,Liederbock,374,https://www.youtube.com/embed/SQ05WgVr8_4?si=mt4_r9fGwb0f0Rtc,1
Wenn der Abend naht,Liederbock,376,https://www.youtube.com/embed/DBy_l8eqVs0?si=yygpGaxJNlfu9kYB,1
Wenn die Bürger schlafen gehn,Liederbock,378,https://www.youtube.com/embed/dWEHzewJek4?si=i_1GmrsPWlWWEUvY,1
Wenn ich einmal der Herrgott wär,Liederbock,380,https://www.youtube.com/embed/eikt9jkpzck?si=Qnvf3KssW-A53ocy,1
Wenn sie reiten zur Schwemme,Liederbock,382,https://www.youtube.com/embed/XvWnPqQ6vmM?si=2jyY8k68H-LhwQ92,1
Wenn wir in der Schenke hängen,Liederbock,384,https://www.youtube.com/embed/JTWdNw49NFI?si=O7dCYYjxSOAafmH9,1
"Wer bekümmert sich drum, wenn ich wand're",Liederbock,386,https://www.youtube.com/embed/RbgA2ml_pEQ?si=-tyi745bfU_K6c6A&amp;start=12,1
Wie schön blüht uns der Maien,Liederbock,388,https://www.youtube.com/embed/zxM9BBl1tGo?si=2AqK6vUf0yb2dyy8,1
Wilde Gesellen,Liederbock,390,https://www.youtube.com/embed/SUgazpjVakE?si=94GyJmNYgrTnyIrP,1
Wildgänse rauschen durch die Nacht,Liederbock,392,https://www.youtube.com/embed/5Ax5Vvuw12c?si=AbElk6x_LTtjD_sq,1
"Wir drei, wir gehn jetzt auf die Walze",Liederbock,394,https://www.youtube.com/embed/cqzUp1ZlZvo?si=ATZMXvcse99G-eXr&amp;start=16,1
Wir kamen einst von Piemont,Liederbock,398,https://www.youtube.com/embed/TAhyo4TcSLI?si=dERCgNOp6mW2uy1O,1
Wir sind des Geyers schwarzer Haufen,Liederbock,400,https://www.youtube.com/embed/sv0AvFyYAmE?si=oh27tVUAjHI6LQos,1
Wir sind durch Deutschland gefahren,Liederbock,402,https://www.youtube.com/embed/74Kt5bgmyx0?si=-yngOM9hD_hZOi4G,1
Wir sind eine kleine verlorene Schar,Liederbock,404,https://www.youtube.com/embed/5Sex7V5Rg6I?si=i28C9WOGGnwP2hex,1
Wir sind Kameraden,Liederbock,406,https://www.youtube.com/embed/-9a34dUUwnw?si=xTXd_5O5l1qLegQT,1
Wir traben in die Weite,Liederbock,408,https://www.youtube.com/embed/iuhcs6rf41g?si=2XuJmiCebIGKkbw1,1
Wir wählten den Sommer,Liederbock,410,https://www.youtube.com/embed/z9388GRhFsg?si=uTHhL3ROTp75RbTk,1
Wir wollen zu Land ausfahren,Liederbock,412,https://www.youtube.com/embed/IZw5b5jiitM?si=KJMbv8PtFnyKlBJB,1
Wir zahlten mit Dollars und Kopeken,Liederbock,414,https://www.youtube.com/embed/WwRUc_1pZLQ?si=UkBdvQQUjUwKRxo3,1
Wir zogen in das Feld,Liederbock,416,https://www.youtube.com/embed/69g8_QISEY8?si=j1OCSp95mC8fu0lX,1
Woher soll das Brot für heute kommen,Liederbock,418,https://www.youtube.com/embed/JfKpl1xCFp0?si=TF62Zolf85wHoYu3,1
Wohin auch das Auge blicket,Liederbock,420,https://www.youtube.com/embed/-boCKJsDe5U?si=d8BC293lYvhlxwXL,1
Wollt ihr hören nun mein Lied,Liederbock,422,https://www.youtube.com/embed/3nXQirzpqng?si=-4-rm4qApu6pLT_v,1
Wo seid ihr Nächte am Feuer,Liederbock,424,https://www.youtube.com/embed/2jaQqKhdIu8?si=Gz_KDjPyVkVnjapL,1
Wo's nur Felsen gibt,Liederbock,426,https://www.youtube.com/embed/iKAakfc_1fs?si=q6JLMlHPsN-_SmhK,1
Wo soll ich mich hinkehren,Liederbock,428,https://www.youtube.com/embed/G6bV-38lFak?si=zaAFjt4NAmuF1rQ8,1
Wo soll ich mich hinwenden,Liederbock,432,https://www.youtube.com/embed/u2qSjdxzHRU?si=k7USw96grE4MlC4M,1
Xekinai,Liederbock,434,https://www.youtube.com/embed/77SYN25mzt8?si=zdBnkPSatAatSeEH,1
Ye Jacobites,Liederbock,436,https://www.youtube.com/embed/YEDy3vEX8Ms?si=0TYakZon5BywO8BL,1
"Zelte sah ich, Pferde, Fahnen",Liederbock,438,https://www.youtube.com/embed/rzuwHsBkrjs?si=0Exh3sBqri4RlFCP,1
Ziehen die Straßen dahin,Liederbock,440,https://www.youtube.com/embed/Syp0kgU1_kg?si=0KgzdcCcMZV3fjYm,1
Zogen der Ungarn stämmige Husaren,Liederbock,442,https://www.youtube.com/embed/AMvKeCRU_dk?si=zCmh8pCxMTNhTEoh,1
